task,episode,stage,elapsed_s
warmWater,warmWater-3,replan+correction (sim-grounded),43.984
warmWater,warmWater-3,done,88.626
warmWater,warmWater-4,loading data,0.0
warmWater,warmWater-4,sound detection,2.28
warmWater,warmWater-4,scene graphs,2.401
warmWater,warmWater-4,summaries,71.44
warmWater,warmWater-4,reasoning (LLM),71.441
warmWater,warmWater-4,replan+correction (sim-grounded),76.844
warmWater,warmWater-4,done,140.496
warmWater,warmWater-5,loading data,0.0
warmWater,warmWater-5,sound detection,2.692
warmWater,warmWater-5,scene graphs,2.816
warmWater,warmWater-5,summaries,89.849
warmWater,warmWater-5,reasoning (LLM),89.85
warmWater,warmWater-5,replan+correction (sim-grounded),106.8
warmWater,warmWater-5,done,150.954
warmWater,warmWater-6,loading data,0.0
warmWater,warmWater-6,sound detection,2.321
warmWater,warmWater-6,scene graphs,2.443
warmWater,warmWater-6,summaries,69.016
warmWater,warmWater-6,reasoning (LLM),69.017
warmWater,warmWater-6,replan+correction (sim-grounded),76.62
warmWater,warmWater-6,done,88.316
warmWater,warmWater-7,loading data,0.0
warmWater,warmWater-7,sound detection,3.286
warmWater,warmWater-7,scene graphs,3.418
warmWater,warmWater-7,summaries,101.277
warmWater,warmWater-7,reasoning (LLM),101.278
warmWater,warmWater-7,replan+correction (sim-grounded),107.736
warmWater,warmWater-7,done,212.448
warmWater,warmWater-8,loading data,0.0
warmWater,warmWater-8,sound detection,2.025
warmWater,warmWater-8,scene graphs,2.139
warmWater,warmWater-8,summaries,60.59
warmWater,warmWater-8,reasoning (LLM),60.591
warmWater,warmWater-8,replan+correction (sim-grounded),74.766
warmWater,warmWater-8,done,164.161
warmWater,warmWater-9,loading data,0.0
warmWater,warmWater-9,sound detection,2.382
warmWater,warmWater-9,scene graphs,2.501
warmWater,warmWater-9,summaries,66.475
warmWater,warmWater-9,reasoning (LLM),66.476
warmWater,warmWater-9,replan+correction (sim-grounded),72.194
warmWater,warmWater-9,done,162.583
waterPlant,waterPlant-1,loading data,0.0
waterPlant,waterPlant-1,sound detection,0.715
waterPlant,waterPlant-1,scene graphs,0.826
waterPlant,waterPlant-1,summaries,11.254
waterPlant,waterPlant-1,reasoning (LLM),11.255
waterPlant,waterPlant-1,replan+correction (sim-grounded),20.258
waterPlant,waterPlant-1,done,102.941
waterPlant,waterPlant-10,loading data,0.0
waterPlant,waterPlant-10,sound detection,0.668
waterPlant,waterPlant-10,scene graphs,0.779
waterPlant,waterPlant-10,summaries,10.468
waterPlant,waterPlant-10,reasoning (LLM),10.469
waterPlant,waterPlant-10,replan+correction (sim-grounded),17.184
waterPlant,waterPlant-10,done,43.051
waterPlant,waterPlant-2,loading data,0.0
waterPlant,waterPlant-2,sound detection,0.806
waterPlant,waterPlant-2,scene graphs,0.922
waterPlant,waterPlant-2,summaries,10.771
waterPlant,waterPlant-2,reasoning (LLM),10.772
waterPlant,waterPlant-2,replan+correction (sim-grounded),20.118
waterPlant,waterPlant-2,done,60.069
waterPlant,waterPlant-3,loading data,0.0
waterPlant,waterPlant-3,sound detection,0.747
waterPlant,waterPlant-3,scene graphs,0.861
waterPlant,waterPlant-3,summaries,12.783
waterPlant,waterPlant-3,reasoning (LLM),12.784
waterPlant,waterPlant-3,replan+correction (sim-grounded),18.809
waterPlant,waterPlant-3,done,87.578
waterPlant,waterPlant-4,loading data,0.0
waterPlant,waterPlant-4,sound detection,0.726
waterPlant,waterPlant-4,scene graphs,0.84
waterPlant,waterPlant-4,summaries,11.014
waterPlant,waterPlant-4,reasoning (LLM),11.014
waterPlant,waterPlant-4,replan+correction (sim-grounded),17.631
waterPlant,waterPlant-4,done,55.6
waterPlant,waterPlant-5,loading data,0.0
waterPlant,waterPlant-5,sound detection,0.703
waterPlant,waterPlant-5,scene graphs,0.816
waterPlant,waterPlant-5,summaries,11.668
waterPlant,waterPlant-5,reasoning (LLM),11.669
waterPlant,waterPlant-5,replan+correction (sim-grounded),24.934
waterPlant,waterPlant-5,done,85.468
waterPlant,waterPlant-6,loading data,0.0
waterPlant,waterPlant-6,sound detection,0.993
waterPlant,waterPlant-6,scene graphs,1.121
waterPlant,waterPlant-6,summaries,18.97
waterPlant,waterPlant-6,reasoning (LLM),18.971
waterPlant,waterPlant-6,replan+correction (sim-grounded),25.733
waterPlant,waterPlant-6,done,73.964
waterPlant,waterPlant-7,loading data,0.0
waterPlant,waterPlant-7,sound detection,0.638
waterPlant,waterPlant-7,scene graphs,0.75
waterPlant,waterPlant-7,summaries,9.993
waterPlant,waterPlant-7,reasoning (LLM),9.994
waterPlant,waterPlant-7,replan+correction (sim-grounded),17.276
waterPlant,waterPlant-7,done,93.806
waterPlant,waterPlant-8,loading data,0.0
waterPlant,waterPlant-8,sound detection,0.665
waterPlant,waterPlant-8,scene graphs,0.756
waterPlant,waterPlant-8,summaries,10.923
waterPlant,waterPlant-8,reasoning (LLM),10.924
waterPlant,waterPlant-8,replan+correction (sim-grounded),14.604
waterPlant,waterPlant-8,done,54.361
waterPlant,waterPlant-9,loading data,0.0
waterPlant,waterPlant-9,sound detection,0.681
waterPlant,waterPlant-9,scene graphs,0.794
waterPlant,waterPlant-9,summaries,11.392
waterPlant,waterPlant-9,reasoning (LLM),11.393
waterPlant,waterPlant-9,replan+correction (sim-grounded),18.274
waterPlant,waterPlant-9,done,69.522
