task,episode,status,artifact_mode,replay_available,sim_grounded,coplan_success,num_steps,pred_failure_step,gt_failure_step,pred_failure_reason,gt_failure_reason,error_type,gt_error_type
toastBread,toastBread-3,ok,full,True,True,False,2,['00:29'],00:47,"The failure was caused by the robot trying to make toast starting from an unsliced loaf and only producing a loose bread slice on the countertop instead of getting bread into the toaster workflow. The earliest step where things went wrong was 00:29, when the robot moved to the bread with the knife and began slicing bread rather than proceeding with a ready-to-toast slice.","The robot cannot put bread slice inside the toaster due to a cellphone on top of the toaster, blocking the slots.",execution,planning
toastBread,toastBread-4,ok,full,True,True,False,10,['00:29'],00:31,"The failure was caused by the robot attempting to slice a whole loaf that was not in a valid sliced/toastable state; at 00:31 the slice action had no effect, leaving the bread unsliced.  
**Root cause: 00:29** — when the robot arrived at the bread, the observation already showed **“bread (not sliced)”**, meaning it had not prepared or positioned suitable bread slices before attempting the slicing/toasting sequence.",The robot failed to execute the slice bread action.,execution,execution
toastBread,toastBread-5,ok,full,True,True,True,1,['00:29'],00:45,"The failure was caused by the robot trying to make toast starting from an unsliced loaf and only producing a loose bread slice on the countertop instead of getting bread into the toaster workflow. The earliest step where things went wrong was 00:29, when the robot moved to the bread with the knife and began slicing bread rather than proceeding with a ready-to-toast slice.",The robot failed to put bread slice inside toaster.,execution,execution
toastBread,toastBread-6,ok,full,True,True,False,3,['00:20'],"['00:01', '00:02', '00:03', '00:04', '00:05', '00:06', '00:07', '00:08', '00:09', '00:10', '00:11', '00:12', '00:13', '00:14', '00:15', '00:16', '00:17', '00:18', '00:19', '00:20', '00:21', '00:22', '00:23', '00:24', '00:25', '00:26', '00:27', '00:28']","The failure happened because the robot tried to slice the bread at 00:28 without ever picking up the knife, so its gripper was empty and the bread remained unsliced. The ROOT CAUSE is at 00:20: after moving to the knife, the robot still had nothing in its gripper and never grasped the knife before proceeding to the bread.",The robot never picked up a knife and thus cannot slice the bread.,execution,execution
toastBread,toastBread-7,ok,full,True,True,False,10,['00:21'],"['00:01', '00:02', '00:03', '00:04', '00:05', '00:06', '00:07', '00:08', '00:09', '00:10', '00:11', '00:12', '00:13', '00:14', '00:15', '00:16', '00:17', '00:18', '00:19', '00:20', '00:21']","Root cause occurred at 00:21: the robot picked up a whole, unsliced loaf/piece of bread for a toastBread task. Because it was not sliced, the later put-in-toaster action at 00:29 failed, leaving the bread on top of the toaster instead of inside it.","The robot never sliced the bread, and the unsliced bread cannot be put inside the toaster.",execution,execution
toastBread,toastBread-8,ok,full,True,True,False,2,['00:29'],"['00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39', '00:40', '00:41', '00:42', '00:43', '00:44', '00:45', '00:46', '00:47', '00:48', '00:49', '00:50']","The failure was caused by the robot trying to make toast starting from an unsliced loaf and only producing a loose bread slice on the countertop instead of getting bread into the toaster workflow. The earliest step where things went wrong was 00:29, when the robot moved to the bread with the knife and began slicing bread rather than proceeding with a ready-to-toast slice.","The robot did not put the knife down after slicing the bread. As a result, the gripper was occupied by the knife and it could not pick up the bread slice.",execution,execution
toastBread,toastBread-9,ok,full,True,True,False,2,['00:29'],"['00:47', '00:48', '00:49', '00:50']","The failure was caused by the robot trying to make toast starting from an unsliced loaf and only producing a loose bread slice on the countertop instead of getting bread into the toaster workflow. The earliest step where things went wrong was 00:29, when the robot moved to the bread with the knife and began slicing bread rather than proceeding with a ready-to-toast slice.","The robot toggled on the toaster before trying to put the bread slice inside the toaster. As a result, the bread slice ended up on top of the toaster instead of inside it.",execution,execution
warmWater,warmWater-1,ok,full,True,True,False,0,['01:01'],"['01:04', '01:07']","The failure was caused by trying to start the microwave while its door was still open, so the microwave did not turn on at 01:04. The ROOT CAUSE first occurred at 01:01, when the robot put the mug into the microwave but never closed the microwave door before attempting to start it.",Wrong order of toggle on microwave and close microwave,execution,planning
warmWater,warmWater-10,ok,full,True,True,False,10,['00:20'],['00:21'],"The failure became visible at 00:21 when the robot tried to turn on the faucet but it remained off. The root cause started earlier at 00:20: the robot placed the mug into a cluttered sink next to other objects, likely obstructing access/alignment to the faucet controls and leading to the failed toggle.","Failed to successfully execute (toggle_on, Faucet)",execution,execution
warmWater,warmWater-2,ok,full,True,True,True,10,['00:47'],"['00:21', '01:25']","The plan heated the mug before filling it, then later put it in the sink and filled it with faucet water, so the final mug on the dining table contained regular water rather than warm water. To succeed, the robot needed to fill the mug first and then warm that water before placing it on the dining table.",Wrong order of filling water and microwaving,planning,planning
warmWater,warmWater-3,ok,full,True,True,False,3,['01:10'],['01:10'],"The plan stopped too early: although the robot heated the water, it never reopened the microwave, took the mug out, and placed it on the dining table. As a result, the mug of warm water was left inside the microwave instead of being served at the dining table.",Incomplete Plan: missed steps for serving the mug,planning,planning
warmWater,warmWater-4,ok,full,True,True,False,3,['01:40'],"['01:40', '01:58']","The plan warmed the water in the mug but never moved the mug to the dining table; it left the mug inside the microwave at the end. Instead, the robot unnecessarily moved a separate cup to the dining table, which does not satisfy the goal of having a mug of warm water there.",Wrong Plan: serves glass instead of the mug with water,planning,planning
warmWater,warmWater-5,ok,full,True,True,False,4,['01:11'],['01:35'],"The failure was caused by the microwave already being occupied by a bowl, so when the robot tried to place the cup inside at 01:35, the placement could not succeed. The root cause first appears at 01:11, when the robot opened the microwave and observed the bowl inside but did not remove it before continuing.",Microwave already occupied,execution,planning
warmWater,warmWater-6,ok,full,True,True,False,0,['00:46'],['00:59'],"Root cause: at 00:41 the robot moved away from the microwave while holding the water-filled mug, and at 00:46 it placed the mug back on the countertop instead of putting it into the microwave to heat it. This wrong placement is the earliest point the plan went off track, leading to the later failed pickup at 00:59.",Wrong perception: glass and mug,execution,planning
warmWater,warmWater-7,ok,full,True,True,False,10,['01:21'],"['01:21', '01:51']","The plan heated the wrong object: it put the **cup** in the microwave, while the **mug** is the container that ends up on the dining table. As a result, the mug on the table only contains regular water from the sink, not **warm** water, so the goal was not satisfied.",Wrong Plan: puts cup inside microwave instead of mug filled with water,planning,execution
warmWater,warmWater-8,ok,full,True,True,False,10,['00:08'],['00:20'],"The plan never ensured the mug contained water before heating it. At the end, the mug on the dining table was still filled with wine, so the robot served warm wine instead of a mug of warm water.",Missing step to pour wine out of the mug,planning,execution
warmWater,warmWater-9,ok,full,True,True,False,10,['00:41'],['01:29'],"The failure originated at **00:41**, when the robot moved to the countertop and effectively set the filled mug down there instead of continuing directly to load it into the microwave, creating an unnecessary detour. More importantly, after heating, it later made the wrong task-level choice at **01:23** to carry the warmed mug back to the sink, which led to the observable failure at **01:29** when it poured the water out; the earliest wrong step is **00:41**.",Wrong Plan: Pours water from mug after microwaving and before serving,execution,execution
waterPlant,waterPlant-1,ok,full,True,True,False,10,['00:28'],"['00:25', '00:39']","The plan filled the pot at the sink without ensuring it contained water, and the final state shows the plant was filled with wine instead. So the robot achieved the pouring action, but it used the wrong liquid, failing the goal of filling the house plant with water.",Incomplete Plan - Pot is filled with wine already,planning,execution
waterPlant,waterPlant-10,ok,full,True,True,True,2,['00:32'],['00:32'],"The failure is that at 00:32 the robot attempted to pick up the water-filled pot but did not grasp it, leaving the gripper empty while the pot stayed in the sink. The ROOT CAUSE is at 00:32 itself, since all prior steps were successful and this is the first point where the task goes wrong.","Failed to successfully execute (pick_up, Pot)",execution,execution
waterPlant,waterPlant-2,ok,full,True,True,True,4,['00:23'],"['00:23', '00:37']","Root cause was at 00:23, when the robot put the pot on the third countertop instead of placing it under/in the sink to be filled. As a result, at 00:26–00:29 the faucet was turned on and off while the pot remained empty, so the pour at 00:37 failed because there was no water in the pot.",Wrong Plan - pot is put on countertop instead of inside sink,execution,execution
waterPlant,waterPlant-3,ok,full,True,True,True,9,['00:37'],['00:38'],"Root cause: at **00:37**, the robot moved/stayed at the **sink** while holding the filled pot instead of moving to the plant. Because it was still over the sink, the next action at **00:38** poured the water into the sink, emptying the pot instead of watering the plant.","Wrong Plan - wrong step: (pour, Pot, Sink)",execution,execution
waterPlant,waterPlant-4,ok,full,True,True,True,4,['00:25'],"['00:28', '00:31']","The failure happened because the robot never actually filled the pot with water, so pouring at 00:39 could not water the plant. The root cause is at 00:25, when it turned on the faucet while still holding the pot but did not position/fill it under running water, and by 00:28 the faucet was turned off with the pot still observed as empty.",Wrong order - faucet is turned on and off before pot is put in the sink,execution,execution
waterPlant,waterPlant-5,ok,full,True,True,True,5,['00:34'],['00:34'],"Root cause: at **00:34**, the robot picked up the **kettle** instead of the **water-filled pot** it had just filled in the sink. As a result, at 00:39 it tried to pour from an apparently empty/wrong container, so the house plant remained empty.",Wrong plan - kettle is picked up instead of pot,execution,planning
waterPlant,waterPlant-6,ok,full,True,True,True,4,['00:33'],['00:44'],"Root cause: at 00:33 the robot started moving toward the bowl instead of returning to the water-filled pot in the sink and carrying it to the house plant. This wrong target selection led to the observable failure at 00:44, when it picked up the bowl rather than the pot needed to water the plant.",Ambiguous plan - some container,execution,planning
waterPlant,waterPlant-7,ok,full,True,True,True,8,['00:15'],['00:16'],"Root cause was already present at 00:15: the pan was sitting on top of the pot, blocking access to it. The pickup failed at 00:16 because the robot tried to grasp the pot without first removing the pan.",Pan is blocking the pot,execution,planning
waterPlant,waterPlant-8,ok,full,True,True,True,4,['00:26'],['00:26'],"The failure is that at 00:26 the robot attempted to turn on the faucet, but the faucet remained off, so the pot never got filled with water. The root cause first appears at 00:26 itself, because all prior steps correctly positioned the empty pot in the sink and nothing was wrong until the faucet toggle failed.","Failed to successfully execute (toggle_on, Faucet)",execution,execution
waterPlant,waterPlant-9,ok,full,True,True,True,5,['00:36'],['00:36'],"The failure was caused by the robot losing or setting down the filled pot before reaching the plant: at 00:34 the pot was in the gripper and filled, but by 00:36 the gripper was empty and the pot was back on the countertop, so there was nothing to pour at 00:39.  

**Root cause time step: 00:36** — this is the earliest step where the state first becomes wrong.",Dropped Pot,execution,execution
