episode,timestamp_sec,action,scene_graph_text
sauteeCarrot3,104,Put knife on table,"stove burner-1, stove burner-2, stove burner-3, table, saucepan. stove burner-1 is on top of stove burner-3. stove burner-2 is on top of stove burner-3. stove burner-1 is on top of table. stove burner-2 is on top of table. stove burner-3 is on top of table. stove burner-1 is inside saucepan. stove burner-2 is inside saucepan. saucepan is on top of table. nothing is inside robot gripper."
sauteeCarrot3,158,Pick up carrot slice,nothing is inside robot gripper.
sauteeCarrot3,192,Put carrot slice in saucepan,"stove burner, spoon, carrot (sliced), table, saucepan. spoon is on top of stove burner. carrot is on top of stove burner. carrot is inside spoon. spoon is inside carrot. spoon is on top of table. carrot is on top of table. spoon is inside saucepan. carrot is inside saucepan. saucepan is on top of table. spoon is inside robot gripper."
sauteeCarrot3,241,Toggle on stove burner,"stove burner-1, stove burner-2, carrot (sliced), table, saucepan. stove burner-1 is on top of stove burner-2. carrot is on top of stove burner-1. stove burner-1 is inside carrot. carrot is on top of stove burner-2. stove burner-1 is on top of table. stove burner-2 is on top of table. carrot is on top of table. stove burner-1 is inside saucepan. saucepan is on top of stove burner-2. stove burner-2 is inside saucepan. carrot is inside saucepan. saucepan is on top of table. carrot is inside robot gripper."
sauteeCarrot4,32,Pick up knife,"stove burner-1, stove burner-2. stove burner-2 is on top of stove burner-1. nothing is inside robot gripper."
sauteeCarrot4,112,Slice carrot,saucepan. nothing is inside robot gripper.
sauteeCarrot4,146,Put knife on table,"stove burner, saucepan. nothing is inside robot gripper."
sauteeCarrot4,185,Pick up carrot slice,stove burner. nothing is inside robot gripper.
sauteeCarrot4,220,Put carrot slice in saucepan,"stove burner, saucepan. saucepan is on top of stove burner. nothing is inside robot gripper."
secureObjects1,43,Pick up knife,pear. nothing is inside robot gripper.
secureObjects1,135,Put knife in fridge,fridge (with door open). nothing is inside robot gripper.
secureObjects1,176,Close fridge,"drawer (open), fridge (with door open). nothing is inside robot gripper."
secureObjects1,204,Pick up pear,nothing is inside robot gripper.
secureObjects1,228,Put pear near drawer,"drawer (open), fridge (with door open). nothing is inside robot gripper."
secureObjects1,255,Open drawer,fridge (with door open). nothing is inside robot gripper.
secureObjects1,279,Pick up pear,nothing is inside robot gripper.
secureObjects1,300,Put pear in drawer,"pear, fridge (with door open). pear is inside fridge. pear is inside robot gripper."
secureObjects1,319,Close drawer,"drawer (open), fridge (with door open). nothing is inside robot gripper."
